,phrase,frequency
25211,pi developing,4
25212,begin develop,4
25213,power transmission,4
25214,information global,4
25215,microgrids efficiently,4
25216,collaborative environments,4
25217,kinds data,4
25218,access querying,4
25219,ecosystem supports,4
25220,data medical,4
25221,place technologies,4
25222,mechanisms facilitate,4
25223,chronic disease,4
25224,industry sector,4
25225,science advancing,4
25226,market intelligence,4
25227,would create,4
25228,site enable,4
25229,energy business,4
25230,establishes industryuniversity,4
25231,create intelligence,4
25232,intelligence towards,4
25233,towards intelligence-driven,4
25234,intelligence-driven society,4
25235,fusion diverse,4
25236,partners federal,4
25237,cbl seeks,4
25238,create state-of-the-art,4
25239,applications transforming,4
25240,domains business,4
25241,healthcare internet-of-things,4
25242,technology business,4
25243,brbrthe center,4
25244,hosted httpnsfcblorg,4
25245,httpnsfcblorg data,4
25246,maintained cbl,4
25247,duration center,4
25248,internal code,4
25249,gitlab software,4
25250,packages well,4
25251,github bitbucket,4
25252,operating room,4
25253,meeting held,4
25254,proposed projects,4
25255,applications unified,4
25256,broad transformative,4
25257,ideal platform,4
25258,key achieving,4
25259,informatics cvdi,4
25260,advanced visualization,4
25261,traffic redirection,4
25262,environment explore,4
25263,facilitate detection,4
25264,detection measurement,4
25265,advancing technology,4
25266,national local,4
25267,skills students,4
25268,security foundations,4
25269,app-as-a-platform architectures,4
25270,mobile agents,4
25271,however adoption,4
25272,network largest,4
25273,largest wireless,4
25274,voice service,4
25275,data voice,4
25276,devise tools,4
25277,design loopholes,4
25278,standards well,4
25279,infrastructure society,4
25280,experiments operational,4
25281,operational carriers,4
25282,capable performing,4
25283,coding-based security,4
25284,ensuring data,4
25285,order-preserving encryption,4
25286,planes thus,4
25287,provides multiple,4
25288,higher priority,4
25289,data carries,4
25290,mobile voice,4
25291,configuration issues,4
25292,stability reachability,4
25293,protect multi-trillion,4
25294,multi-trillion dollar,4
25295,proposes solutions,4
25296,scalability performance,4
25297,potential positively,4
25298,c c,4
25299,interactions physical,4
25300,predictive methods,4
25301,batch processing,4
25302,performance variation,4
25303,ubiquitous network,4
25304,statistical privacy,4
25305,different existing,4
25306,executed three,4
25307,software guard,4
25308,shielded execution,4
25309,users take,4
25310,diffusion information,4
25311,second designing,4
25312,evaluate design,4
25313,management problems,4
25314,models iv,4
25315,ip theft,4
25316,amount digital,4
25317,girls color,4
25318,workshop bring,4
25319,aspects large-scale,4
25320,improve current,4
25321,nature potential,4
25322,update operations,4
25323,system operating,4
25324,one mobile,4
25325,cybersecurity systems,4
25326,systems allows,4
25327,allows people,4
25328,security activities,4
25329,services search,4
25330,increasingly relying,4
25331,resources second,4
25332,software configurations,4
25333,context autonomous,4
25334,human-autonomous vehicle,4
25335,vehicle interactions,4
25336,manipulation internet,4
25337,newly proposed,4
25338,multiple system,4
25339,system test,4
25340,functions including,4
25341,real-time cyber-physical,4
25342,software experimental,4
25343,monitoring surveillance,4
25344,parallel algorithms,4
25345,technique developed,4
25346,algorithms rely,4
25347,use particular,4
25348,allowing us,4
25349,deep storage,4
25350,boundaries well,4
25351,video already,4
25352,unused spectrum,4
25353,approach applicable,4
25354,cellular core,4
25355,architecture uses,4
25356,management engineering,4
25357,time use,4
25358,networks longer,4
25359,beyond network,4
25360,disaster victims,4
25361,developed around,4
25362,humanrobotic interactions,4
25363,waste debris,4
25364,delivering electricity,4
25365,use electricity,4
25366,combine advantages,4
25367,resources cannot,4
25368,decentralized approaches,4
25369,metering data,4
25370,networks analyzed,4
25371,training prepare,4
25372,leadership roles,4
25373,energy economy,4
25374,irrelevant information,4
25375,information exchanges,4
25376,delivered vehicles,4
25377,based closeness,4
25378,closeness information,4
25379,information key,4
25380,interactions closeness,4
25381,direct interactions,4
25382,network pis,4
25383,assessment problem,4
25384,problem ie,4
25385,ie computing,4
25386,computing closeness,4
25387,increasing spectrum,4
25388,architecture solutions,4
25389,framework maximizes,4
25390,spectral resource,4
25391,well locations,4
25392,transmission schedules,4
25393,schedules network,4
25394,3 wireless,4
25395,based commercial,4
25396,past four,4
25397,four decades,4
25398,advance notice,4
25399,careful attention,4
25400,developers access,4
25401,management functions,4
25402,traditional approach,4
25403,transmitters receivers,4
25404,changes wireless,4
25405,channel variations,4
25406,speed-of-light internet,4
25407,could translate,4
25408,applications example,4
25409,architecture protocols,4
25410,3 explore,4
25411,application traffic,4
25412,networks still,4
25413,repair network,4
25414,behavior automatically,4
25415,planes compute,4
25416,high-quality repairs,4
25417,error rate,4
25418,less reliable,4
25419,increasingly reliant,4
25420,network content,4
25421,enabling students,4
25422,passive network,4
25423,object identification,4
25424,methodologies based,4
25425,technical problem,4
25426,problem integrating,4
25427,one application,4
25428,measurement including,4
25429,increasingly distributed,4
25430,lead failures,4
25431,software meet,4
25432,data -,4
25433,combines concepts,4
25434,primarily performance,4
25435,realistic environment,4
25436,efficiency computing,4
25437,algorithms scheduling,4
25438,fundamental mechanisms,4
25439,without disclosing,4
25440,work designs,4
25441,different architectures,4
25442,backend architecture,4
25443,congestion cellular,4
25444,although cognitive,4
25445,access unused,4
25446,build flexible,4
25447,systems moreover,4
25448,opportunities job,4
25449,creation economic,4
25450,magnitude greater,4
25451,system create,4
25452,sdr platform,4
25453,projects enabled,4
25454,symmetric-key primitives,4
25455,symmetric objects,4
25456,basic primitives,4
25457,difficult impossible,4
25458,censorship-resistant communication,4
25459,circumvention tools,4
25460,due great,4
25461,great economic,4
25462,approach solving,4
25463,finally create,4
25464,provided cloud,4
25465,users behavior,4
25466,networking researchers,4
25467,monitoring service,4
25468,cryptographic applications,4
25469,limited success,4
25470,goal show,4
25471,interdisciplinary educational,4
25472,diverse hardware,4
25473,push model,4
25474,power consuming,4
25475,consuming cores,4
25476,higher power,4
25477,much power,4
25478,access time,4
25479,cross-cutting nature,4
25480,networks primary,4
25481,communication cellular,4
25482,limited capability,4
25483,specific properties,4
25484,target attackers,4
25485,benefit mobile,4
25486,level individual,4
25487,fingerprint authentication,4
25488,limited size,4
25489,partial impressions,4
25490,multiple fingers,4
25491,pertaining multiple,4
25492,partial fingerprint,4
25493,master prints,4
25494,digital communication,4
25495,significant benefit,4
25496,virtual mobile,4
25497,high-level languages,4
25498,radio based,4
25499,devices currently,4
25500,theoretical contribution,4
25501,domains healthcare,4
25502,frequency communication,4
25503,blood pressure,4
25504,two trends,4
25505,smaller wireless,4
25506,reliable ow,4
25507,mobility models,4
25508,succinct proofs,4
25509,access power,4
25510,networks significantly,4
25511,distributed algorithm,4
25512,opencourseware mitx,4
25513,mitx mooc,4
25514,economy society,4
25515,networking testbed,4
25516,networks modeling,4
25517,optimal memory,4
25518,data race,4
25519,process scheduling,4
25520,objective development,4
25521,adaptation protocols,4
25522,protocols effectively,4
25523,code software,4
25524,computing performance,4
25525,high-level synthesis,4
25526,properties automatically,4
25527,devices one,4
25528,techniques significantly,4
25529,application designs,4
25530,challenges implementing,4
25531,problems caused,4
25532,operation cyber-physical,4
25533,provable correctness,4
25534,system networks,4
25535,pollution detection,4
25536,first effort,4
25537,include improving,4
25538,data way,4
25539,finer granularity,4
25540,cross-layer control,4
25541,consumption wireless,4
25542,devices medical,4
25543,processing networking,4
25544,data collectors,4
25545,models variety,4
25546,pis prior,4
25547,problems computational,4
25548,however cloud,4
25549,geospatial crowdsourcing,4
25550,influence way,4
25551,particular network,4
25552,users required,4
25553,increase bandwidth,4
25554,great challenges,4
25555,compared conventional,4
25556,mechanisms mobile,4
25557,stream ciphers,4
25558,3 simulation,4
25559,testing algorithms,4
25560,carbon emissions,4
25561,future software,4
25562,whose performance,4
25563,provides much,4
25564,tablets laptops,4
25565,prevent security,4
25566,communication ranges,4
25567,developed two,4
25568,modalities including,4
25569,understanding information,4
25570,attackers defenders,4
25571,little understanding,4
25572,in-depth empirical,4
25573,shared infrastructures,4
25574,virtualized systems,4
25575,information protection,4
25576,medical treatment,4
25577,highly publicized,4
25578,implementation algorithms,4
25579,optimization algorithm,4
25580,impending failures,4
25581,security informatics,4
25582,key successful,4
25583,reliability overall,4
25584,data production,4
25585,security practitioners,4
25586,300 printing,4
25587,comprehensive view,4
25588,interactive tools,4
25589,tools developers,4
25590,safety correctness,4
25591,central problem,4
25592,partially automated,4
25593,specifications software,4
25594,protocols provable,4
25595,capabilities todays,4
25596,guide synthesis,4
25597,autonomous controllers,4
25598,computational engines,4
25599,students integration,4
25600,students recruitment,4
25601,recruitment participants,4
25602,under-represented demographic,4
25603,disseminated web,4
25604,supports faculty,4
25605,previously unattainable,4
25606,program data,4
25607,science business,4
25608,industry center,4
25609,infrastructure protection,4
25610,mayo clinic,4
25611,volume velocity,4
25612,diagnostics prognostics,4
25613,software achieve,4
25614,existing iperform,4
25615,enable remote,4
25616,health climate,4
25617,infrastructure around,4
25618,different pieces,4
25619,network individual,4
25620,meet critical,4
25621,computing instrument,4
25622,courses promoting,4
25623,computational structural,4
25624,community benefit,4
25625,would contribute,4
25626,enabled instrument,4
25627,open standard,4
25628,instrument development,4
25629,well computer,4
25630,limited lack,4
25631,performance addition,4
25632,moreover instrument,4
25633,one single,4
25634,contributes education,4
25635,access cluster,4
25636,feel manipulate,4
25637,whole-hand haptic,4
25638,methods imaging,4
25639,skin strain,4
25640,competitive advantage,4
25641,data annotations,4
25642,community two,4
25643,federated data,4
25644,allow easy,4
25645,common software,4
25646,powerful platform,4
25647,facial expression,4
25648,interest groups,4
25649,mathematically rigorous,4
25650,program enable,4
25651,rf analog,4
25652,analog accelerators,4
25653,data like,4
25654,embedded databases,4
25655,shift cloud,4
25656,open infrastructure,4
25657,develop open,4
25658,google glass,4
25659,layers including,4
25660,heterogeneous integration,4
25661,design existing,4
25662,open-source android,4
25663,capacity well,4
25664,enabled infrastructure,4
25665,architectures dramatically,4
25666,decrease cost,4
25667,traffic circuit,4
25668,program code,4
25669,automatically synthesize,4
25670,efficient computational,4
25671,explosion data,4
25672,enable spectrum,4
25673,computing offers,4
25674,privacy cloud,4
25675,software component,4
25676,strong isolation,4
25677,users place,4
25678,police fire,4
25679,emergency dispatching,4
25680,ng 9-1-1,4
25681,areas emergency,4
25682,exploratory work,4
25683,community conditions,4
25684,services proposed,4
25685,remote edge,4
25686,spread use,4
25687,malicious posts,4
25688,systems difficult,4
25689,electricity demand,4
25690,effort involving,4
25691,course work,4
25692,teachers implement,4
25693,sri international,4
25694,assessment literacy,4
25695,summative assessment,4
25696,development cps,4
25697,unified scalable,4
25698,low speed,4
25699,provides solid,4
25700,suggests users,4
25701,city tallahassee,4
25702,model human,4
25703,improvements existing,4
25704,space focus,4
25705,cities burlington,4
25706,larger cities,4
25707,techniques 2,4
25708,brbrthe pis,4
25709,wireless consortium,4
25710,title cpssynergycollaborative,4
25711,cpssynergycollaborative in-silico,4
25712,in-silico functional,4
25713,functional verification,4
25714,verification artificial,4
25715,pancreas control,4
25716,control algorithmsbrbrthe,4
25717,algorithmsbrbrthe investigates,4
25718,framework artificial,4
25719,pancreas ap,4
25720,controllers automate,4
25721,automate delivery,4
25722,delivery insulin,4
25723,insulin patients,4
25724,diabetes t1d,4
25725,t1d ap,4
25726,controllers safety,4
25727,critical excessive,4
25728,excessive insulin,4
25729,insulin delivery,4
25730,delivery lead,4
25731,serious potentially,4
25732,potentially fatal,4
25733,consequences verification,4
25734,development allows,4
25735,allows designers,4
25736,designers ap,4
25737,controllers check,4
25738,check control,4
25739,reliably disturbances,4
25740,disturbances include,4
25741,include patient,4
25742,patient meals,4
25743,meals physical,4
25744,activities sensor,4
25745,anomalies including,4
25746,including noise,4
25747,noise delays,4
25748,delays sensor,4
25749,sensor attenuation,4
25750,attenuation merits,4
25751,state-of-the-art formal,4
25752,reason mathematical,4
25753,models closed-loop,4
25754,closed-loop including,4
25755,including external,4
25756,disturbances insulin-glucose,4
25757,insulin-glucose response,4
25758,response tools,4
25759,perform exhaustive,4
25760,exhaustive exploration,4
25761,exploration closed,4
25762,behaviors generating,4
25763,generating potentially,4
25764,potentially adverse,4
25765,adverse situations,4
25766,situations control,4
25767,algorithm verification,4
25768,verification addition,4
25769,addition automatic,4
25770,automatic techniques,4
25771,investigated help,4
25772,help ap,4
25773,ap designers,4
25774,designers improve,4
25775,algorithm tuning,4
25776,eliminate harmful,4
25777,harmful behaviors,4
25778,behaviors optimize,4
25779,performance significance,4
25780,importance minimize,4
25781,minimize manual,4
25782,manual testing,4
25783,testing effort,4
25784,effort ap,4
25785,controllers integrate,4
25786,integrate formal,4
25787,formal tools,4
25788,tools certification,4
25789,ultimately ensure,4
25790,ensure availability,4
25791,availability safe,4
25792,reliable devices,4
25793,devices patients,4
25794,diabetes framework,4
25795,developing ap,4
25796,controllers help,4
25797,verify iteratively,4
25798,educational designing,4
25799,designing hands-on,4
25800,hands-on courses,4
25801,design ap,4
25802,controllers motivating,4
25803,motivating example,4
25804,example furthermore,4
25805,furthermore educational,4
25806,material explains,4
25807,explains basic,4
25808,basic ideas,4
25809,ideas current,4
25810,challenges promises,4
25811,promises ap,4
25812,ap concept,4
25813,concept audience,4
25814,includes patients,4
25815,patients t1d,4
25816,t1d families,4
25817,families interested,4
25818,interested students,4
25819,students researchersbrbrthe,4
25820,researchersbrbrthe carried,4
25821,collaboratively teams,4
25822,teams experts,4
25823,system experts,4
25824,experts experience,4
25825,experience designing,4
25826,designing ap,4
25827,controllers mathematical,4
25828,modeling experts,4
25829,experts clinical,4
25830,experts clinically,4
25831,clinically evaluated,4
25832,evaluated ap,4
25833,controllers enable,4
25834,state-of-the-art verification,4
25835,building plausible,4
25836,plausible mathematical,4
25837,models disturbances,4
25838,disturbances clinical,4
25839,clinical datasets,4
25840,datasets characterizing,4
25841,characterizing human,4
25842,human meals,4
25843,meals activity,4
25844,patterns continuous,4
25845,continuous glucose,4
25846,anomalies resulting,4
25847,integrated formal,4
25848,framework simplifying,4
25849,models insulin,4
25850,glucose response,4
25851,response smaller,4
25852,smaller complex,4
25853,complex delay,4
25854,delay differential,4
25855,differential models,4
25856,c automating,4
25857,abstracting controller,4
25858,implementation purposes,4
25859,purposes verification,4
25860,verification producing,4
25861,producing verification,4
25862,verification results,4
25863,results interpreted,4
25864,interpreted control,4
25865,engineers clinical,4
25866,clinical researchers,4
25867,necessarily understanding,4
25868,techniques e,4
25869,e partially,4
25870,partially automating,4
25871,potentially eliminate,4
25872,eliminate severe,4
25873,faults improve,4
25874,performance framework,4
25875,evaluated set,4
25876,promising ap,4
25877,ap controller,4
25878,currently various,4
25879,stages clinical,4
25880,develop core,4
25881,events occur,4
25882,ex post,4
25883,better utilization,4
25884,environments characterized,4
25885,applications architectures,4
25886,3d memory,4
25887,jointly optimizing,4
25888,consumption memory,4
25889,diego ucsd,4
25890,six months,4
25891,strong network,4
25892,launch pad,4
25893,under-represented participants,4
25894,thirty teams,4
25895,successful site,4
25896,rail infrastructure,4
25897,ensuring end-to-end,4
25898,transactive control,4
25899,real-time optimal,4
25900,camera networks,4
25901,parts 1,4
25902,theory methods,4
25903,core questions,4
25904,around design,4
25905,rollout computer,4
25906,interviews observations,4
25907,long-term monitoring,4
25908,would require,4
25909,field deployable,4
25910,proposed i-iot,4
25911,i-iot framework,4
25912,expertise three,4
25913,structure without,4
25914,small enough,4
25915,based combined,4
25916,proposal includes,4
25917,users particular,4
25918,provide direct,4
25919,development dynamic,4
25920,joint kinematics,4
25921,physical phenomena,4
25922,dynamics control,4
25923,simulation engine,4
25924,verification algorithms,4
25925,multi-disciplinary effort,4
25926,fully implantable,4
25927,work examines,4
25928,represent significant,4
25929,selecting data,4
25930,rescue missions,4
25931,energy source,4
25932,engineering cyber-physical,4
25933,require network,4
25934,cps application,4
25935,publicly-available open-source,4
25936,approach providing,4
25937,cps projects,4
25938,significant adverse,4
25939,based sensor,4
25940,cyber interconnection,4
25941,sensor communication,4
25942,infrastructure relies,4
25943,network networks,4
25944,used multiple,4
25945,network-enabled sensing,4
25946,sensing mapping,4
25947,participating cities,4
25948,residential networks,4
25949,direct control,4
25950,availability services,4
25951,mobility network,4
25952,broadband services,4
25953,municipal software,4
25954,eg dynamic,4
25955,develop flexible,4
25956,programming tools,4
25957,researchers well,4
25958,ongoing work,4
25959,phase tracelab,4
25960,tracelab initially,4
25961,initially funded,4
25962,funded major,4
25963,instrumentation goal,4
25964,goal deliver,4
25965,deliver instrument,4
25966,facilitates reproducibility,4
25967,reproducibility software,4
25968,engineering experiments,4
25969,experiments fosters,4
25970,fosters comparative,4
25971,comparative provides,4
25972,environment components,4
25973,components easily,4
25974,easily shared,4
25975,across groups,4
25976,groups experimental,4
25977,experimental reproducibility,4
25978,reproducibility extends,4
25979,extends across,4
25980,across almost,4
25981,every science,4
25982,engineering discipline,4
25983,discipline recently,4
25984,recently widely,4
25985,widely reported,4
25986,reported study,4
25987,conducted biotech,4
25988,biotech firm,4
25989,firm amgen,4
25990,amgen revealed,4
25991,revealed 53,4
25992,53 previously,4
25993,previously published,4
25994,published landmark,4
25995,landmark papers,4
25996,papers six,4
25997,six reproducible,4
25998,reproducible recent,4
25999,studies unearthed,4
26000,unearthed similar,4
26001,engineering domains,4
26002,software traceability,4
26003,traceability feature,4
26004,feature location,4
26005,location compiler,4
26006,optimization reproducibility,4
26007,reproducibility often,4
26008,often undermined,4
26009,undermined lack,4
26010,datasets obsolete,4
26011,obsolete unavailable,4
26012,unavailable tools,4
26013,insufficient details,4
26014,details experiment,4
26015,experiment undocumented,4
26016,undocumented decisions,4
26017,decisions way,4
26018,way various,4
26019,metrics computed,4
26020,computed tracelab,4
26021,tracelab provides,4
26022,provides plug-and-play,4
26023,plug-and-play experimental,4
26024,well libraries,4
26025,libraries shareable,4
26026,shareable components,4
26027,components seminal,4
26028,seminal experiments,4
26029,address problemsbrbrtracelab,4
26030,problemsbrbrtracelab introduces,4
26031,introduces radically,4
26032,way approaching,4
26033,approaching empirical,4
26034,engineering paves,4
26035,greater community,4
26036,rigorous results,4
26037,results easier,4
26038,easier entry-way,4
26039,entry-way researchers,4
26040,researchers expected,4
26041,field empirical,4
26042,engineering accelerate,4
26043,accelerate shape,4
26044,directions industrial,4
26045,industrial pilot,4
26046,studies significantly,4
26047,effort oftentimes,4
26048,oftentimes discourages,4
26049,discourages researchers,4
26050,students used,4
26051,purposes across,4
26052,underrepresented youth,4
26053,investigation impact,4
26054,model social,4
26055,since mobile,4
26056,provide software,4
26057,sharing many,4
26058,pis significant,4
26059,platforms security,4
26060,validation test,4
26061,would interest,4
26062,electronics healthcare,4
26063,defense finance,4
26064,automotive applications,4
26065,online materials,4
26066,geographic location,4
26067,spectrum 3,4
26068,interesting problems,4
26069,applications contrast,4
26070,low-cost solutions,4
26071,solutions easily,4
26072,develop applications,4
26073,government academia,4
26074,atmospheric science,4
26075,computing mobile,4
26076,emerging areas,4
26077,center currently,4
26078,joint industry,4
26079,image understanding,4
26080,software one,4
26081,efficiency performance,4
26082,devices researchers,4
26083,activities potential,4
26084,performance much,4
26085,alternative approaches,4
26086,per minute,4
26087,undertake development,4
26088,detecting understanding,4
26089,internet huge,4
26090,lives people,4
26091,readily deployed,4
26092,spectrum sensors,4
26093,students include,4
26094,automated synthesis,4
26095,intertwined tasks,4
26096,interaction physical,4
26097,attacks cps,4
26098,resources power,4
26099,cyber space,4
26100,architecture isa,4
26101,secure network,4
26102,security providing,4
26103,architecture systems,4
26104,brthe impact,4
26105,disciplines include,4
26106,practical designs,4
26107,food supply,4
26108,establish theoretical,4
26109,x509 implementation,4
26110,detailed information,4
26111,computing principles,4
26112,flexible extensible,4
26113,processing communications,4
26114,techniques extracting,4
26115,complete provenance,4
26116,monitoring internet,4
26117,home office,4
26118,detecting whether,4
26119,computational surgery,4
26120,rules boundaries,4
26121,privacy intents,4
26122,health personal,4
26123,competitive marketplace,4
26124,market models,4
26125,1 short-term,4
26126,time domain,4
26127,including integrating,4
26128,understanding situational,4
26129,power industry,4
26130,agile spectrum,4
26131,spatial potential,4
26132,sequential analysis,4
26133,given design,4
26134,gain in-depth,4
26135,engines news,4
26136,targeted advertising,4
26137,differences eg,4
26138,models incentivize,4
26139,framework facilitate,4
26140,cves systems,4
26141,knowledge propagation,4
26142,multi-resolution networking,4
26143,synchronization dynamical,4
26144,used medical,4
26145,reach underrepresented,4
26146,pursuit technology,4
26147,date safety,4
26148,services typically,4
26149,typically constructed,4
26150,constructed dedicated,4
26151,dedicated stovepipe,4
26152,stovepipe systems,4
26153,focusing reliability,4
26154,reliability specific,4
26155,specific area,4
26156,area risk,4
26157,risk eg,4
26158,eg automotive,4
26159,systems usage,4
26160,usage of8232,4
26161,of8232 services,4
26162,services remains,4
26163,remains limited,4
26164,limited since,4
26165,since require,4
26166,require dedicated,4
26167,dedicated investment,4
26168,investment system,4
26169,system trades,4
26170,trades ultra-high,4
26171,ultra-high reliability,4
26172,reliability dedicated,4
26173,dedicated systems,4
26174,much 8232rapid,4
26175,8232rapid adoption,4
26176,services comes,4
26177,comes integrating,4
26178,integrating directly,4
26179,directly mobiles,4
26180,mobiles wearables,4
26181,wearables demonstrating,4
26182,approach contribute,4
26183,contribute saving,4
26184,lives 30000,4
26185,30000 traffic,4
26186,fatalities year,4
26187,year inform,4
26188,inform regulatory,4
26189,policy safety,4
26190,services 8232at,4
26191,8232at cpsc,4
26192,cpsc nhtsa,4
26193,nhtsa fcc,4
26194,fcc moreover,4
26195,moreover pis,4
26196,conduct actively,4
26197,actively include,4
26198,include undergraduates,4
26199,students internship,4
26200,disseminated scholarly,4
26201,publications active,4
26202,outreach wireless,4
26203,mobile industry,4
26204,industry winlabs,4
26205,winlabs industry,4
26206,industry events,4
26207,events connectionsbrbrthis,4
26208,connectionsbrbrthis seeks,4
26209,demonstrate mobile,4
26210,carry wear,4
26211,wear provide,4
26212,relevant devices,4
26213,contribute dangers,4
26214,dangers causing,4
26215,causing distractions,4
26216,pedestrians therefore,4
26217,therefore pursues,4
26218,system offsets,4
26219,offsets unsafe,4
26220,use continually,4
26221,continually sensing,4
26222,activities surroundings,4
26223,surroundings identifying,4
26224,situations mitigating,4
26225,mitigating appropriate,4
26226,interventions technical,4
26227,primary lies,4
26228,designing precise,4
26229,precise sensing,4
26230,managing level,4
26231,confidence provided,4
26232,observation usually,4
26233,usually multiple,4
26234,possible interventions,4
26235,interventions varying,4
26236,levels intrusiveness,4
26237,intrusiveness tolerance,4
26238,tolerance false,4
26239,positives therefore,4
26240,important match,4
26241,match interventions,4
26242,interventions confidence,4
26243,level provided,4
26244,sensors address,4
26245,system toolkit,4
26246,developers manage,4
26247,manage mobile8232,4
26248,mobile8232 sensing,4
26249,sensing uncertainty,4
26250,uncertainty explores,4
26251,explores crowdsourcing,4
26252,crowdsourcing failure,4
26253,failure relevance,4
26254,relevance data8232,4
26255,data8232 user,4
26256,population automatically,4
26257,automatically estimating,4
26258,estimating confidence,4
26259,confidence provided8232,4
26260,provided8232 internal,4
26261,internal sensing,4
26262,sensing activity,4
26263,recognition components,4
26264,components toolkit,4
26265,use obtained,4
26266,obtained metrics,4
26267,metrics help,4
26268,adapt sensing,4
26269,sensing application,4
26270,might conserve,4
26271,energy switching,4
26272,switching one,4
26273,one context,4
26274,sensor fallback,4
26275,fallback mode,4
26276,mode diversity,4
26277,diversity mode,4
26278,system could8232,4
26279,could8232 switch,4
26280,different intervention,4
26281,intervention level,4
26282,confidence changed,4
26283,changed system,4
26284,validation includes,4
26285,prototyping two,4
26286,cases sense,4
26287,sense mitigate,4
26288,mitigate mobile,4
26289,device distractions,4
26290,pedestrians techniques,4
26291,form system,4
26292,physical aspects,4
26293,important impact,4
26294,securing critical,4
26295,distributed attack-resilient,4
26296,among security,4
26297,integration computational,4
26298,broadband cellular,4
26299,effort leverages,4
26300,exploiting social,4
26301,use speech,4
26302,systems helps,4
26303,technology current,4
26304,spatio-temporal big,4
26305,exciting potential,4
26306,turbulent flows,4
26307,changes operating,4
26308,commonly occurring,4
26309,explore data,4
26310,interaction hci,4
26311,however progress,4
26312,lexical resources,4
26313,robust systems,4
26314,deploy infrastructure,4
26315,power measurements,4
26316,monitoring homeland,4
26317,bring students,4
26318,scientific problems,4
26319,software transactional,4
26320,evaluating practical,4
26321,issues like,4
26322,make inroads,4
26323,practical network,4
26324,declarative networking,4
26325,investigates application,4
26326,access content,4
26327,economic models,4
26328,distributed settings,4
26329,cellular d2d,4
26330,cognizant social,4
26331,students build,4
26332,piece infrastructure,4
26333,capital costs,4
26334,education help,4
26335,performance costs,4
26336,application techniques,4
26337,systems prone,4
26338,telephony internet,4
26339,use sparse,4
26340,high-performance parallel,4
26341,clusters hybrid,4
26342,computational performance,4
26343,tool design,4
26344,requirements well,4
26345,outsourced computations,4
26346,different settings,4
26347,system virtualization,4
26348,brbrthe technical,4
26349,vulnerability measurement,4
26350,base-station antennas,4
26351,outcomes impact,4
26352,time second,4
26353,networked markets,4
26354,player may,4
26355,set candidate,4
26356,victimization computer-focused,4
26357,organizational units,4
26358,provides guidelines,4
26359,architectures evolve,4
26360,software make,4
26361,active resource,4
26362,embedded software,4
26363,complexity robustness,4
26364,service requests,4
26365,fuzzy extractors,4
26366,management major,4
26367,virtual networking,4
26368,principle least,4
26369,model supports,4
26370,social norms,4
26371,optimal algorithms,4
26372,existing schemes,4
26373,dynamic authentication,4
26374,hardware-software authentication,4
26375,passive rfid,4
26376,based zero-power,4
26377,timing strategy,4
26378,trusted rfid,4
26379,rfid sensorstags,4
26380,used isolate,4
26381,increasing energy,4
26382,memory hierarchies,4
26383,silicon-photonic networks,4
26384,pis teach,4
26385,flow fingerprinting,4
26386,various networking,4
26387,limitations capabilities,4
26388,unmodified applications,4
26389,crowd recruitment,4
26390,implementation performance,4
26391,approaches implemented,4
26392,semiclassical molecular,4
26393,dynamics studies,4
26394,io latency,4
26395,networks mostly,4
26396,network neutrality,4
26397,neutrality debate,4
26398,network via,4
26399,occupancy energy,4
26400,etc goal,4
26401,programming methodologies,4
26402,internet packet,4
26403,network designed,4
26404,demonstrate approach,4
26405,problems involving,4
26406,design develops,4
26407,internet beyond,4
26408,extremely limited,4
26409,complete network,4
26410,protocols proposed,4
26411,network routers,4
26412,real networks,4
26413,builds previous,4
26414,practical problems,4
26415,performance user,4
26416,latent configuration,4
26417,hardware failures,4
26418,analysis large-scale,4
26419,cooperative game,4
26420,computational linguistics,4
26421,framework techniques,4
26422,including minorities,4
26423,legitimate parties,4
26424,distributed file,4
26425,require predictable,4
26426,privacy calculus,4
26427,sensors smartphones,4
26428,cumulative prospect,4
26429,go well,4
26430,without actually,4
26431,computing data-intensive,4
26432,rootkit detection,4
26433,results tools,4
26434,modeling prototyping,4
26435,waste stations,4
26436,hurricane sandy,4
26437,clear understanding,4
26438,visually rich,4
26439,domain scientists,4
26440,instrumentation provide,4
26441,inter-domain traffic,4
26442,internet resource,4
26443,areas study,4
26444,instrumentation data,4
26445,make extensive,4
26446,time necessary,4
26447,pd patients,4
26448,image sensors,4
26449,curricular units,4
26450,gigabit apps,4
26451,fields science,4
26452,computer simulation,4
26453,wide-area connectivity,4
26454,networks content,4
26455,students institutions,4
26456,regions institutions,4
26457,robot arm,4
26458,systems br-,4
26459,improved ability,4
26460,algorithms annotation,4
26461,unified annotation,4
26462,annotation workbench,4
26463,workbench uaw,4
26464,annotation community,4
26465,general unified,4
26466,create tools,4
26467,researchers accumulated,4
26468,mobile cpss,4
26469,network availability,4
26470,implementation small,4
26471,wireless vehicular,4
26472,vehicles brbrthe,4
26473,improve mobile,4
26474,developed mobile,4
26475,performance home,4
26476,operators troubleshoot,4
26477,understand nature,4
26478,characterizing improving,4
26479,contrast previous,4
26480,networks focused,4
26481,server may,4
26482,policy organizations,4
26483,ways including,4
26484,higher return,4
26485,near-term solutions,4
26486,solutions replace,4
26487,replace bgp,4
26488,bgp entirely,4
26489,center surveillance,4
26490,proposed sites,4
26491,issues context,4
26492,censorship information,4
